TOI,p_value,Period (d),Rp (R_Earth),Planet Eq Temp (K),Planet SNR,Distance (pc),Stellar Teff (K),R_star (R_Sun),M_star (M_Sun)
2574.01,,4.4817662,18.864,1137,132,834.038,6734,1.25,1.44
2579.01,,3.7146478,15.2308,1432,310,281.498,5783,1.32,1.04
2580.01,,3.397862,18.3834,1870,121,379.253,6590,1.83,1.373
2591.01,,8.493027,20.982,1104,190,316.228,6287,1.41,1.23
2612.01,,13.3572104,19.2978,988,187,636.656,6636.1,1.12,
2616.01,,1.8531628,13.5946,1418,122,401.511,5355,0.68,0.93
2617.01,,6.3187442,16.8683,958,215,467.32,4961,0.98,0.9
2619.01,,12.4724734,12.11,652,105,377.66,4966,0.79,0.83
2622.01,,1.2207037,17.4662,1915,185,782.496,5991,1.06,1.1
2624.01,,3.0235362,13.178,1052,207,390.263,5141,0.78,0.87
2625.01,,2.1481182,,1791,205,843.028,5876,,
2626.01,,3.4562542,10.8897,848,292,192.435,4404,0.75,0.69
2645.01,,1.4436707,20.6267,1553,613,360.674,5465,0.94,0.96
